sortorder,enabled,signal,name,condition,suggest,rationale,preconfig
1,1,gap,Empty course landing page,is_empty_shell == true,page,"Your course is empty. Start with a page that welcomes students and explains what the course is about.",name=Welcome
2,1,lifecycle,Pre-start with no content,term_stage == prestart AND has_purpose_content == false,page,"The course hasn't started yet and has no materials. Add an introductory page outlining its aims and structure.",name=Course information
3,1,lifecycle,Pre-start introductions forum,term_stage in (prestart|week1) AND module_count.forum == 0,forum,"Give students a place to introduce themselves before teaching begins.",type=general;name=Introduce yourself
4,1,gap,Activities but no content,activity_count > 0 AND has_purpose_content == false,page,"You have activities but no explanatory material. Add a page so students know what to do.",name=Overview
5,1,lifecycle,Week 1 icebreaker poll,term_stage == week1 AND module_count.choice == 0 AND has_purpose_communication == false,choice,"A quick poll in week one is a low-effort way to get every student participating early.",name=Icebreaker poll
6,1,gap,Crowded single section,section_count <= 1 AND activity_count > 3,page,"Several activities sit in one section. A contents page helps students navigate.",name=Course map
7,1,lifecycle,Pre-start syllabus book,term_stage == prestart AND module_count.page < 1 AND module_count.book < 1,book,"Use a book to lay out a multi-page syllabus before the course opens.",name=Syllabus
8,1,gap,Resources without orientation,resource_count > 2 AND has_purpose_content == false,label,"Add a short label at the top of section one to orient students to the materials.",name=Start here
9,1,lifecycle,Undated self-paced course,term_stage == undated AND activity_count > 0,page,"This course has no start or end date. Add a page noting expected pacing for self-paced learners.",name=How this course works
10,1,gap,All passive no interaction,interactive_count == 0 AND resource_count > 0,h5pactivity,"Everything here is read-only. Add an interactive H5P element so students engage, not just read.",name=Try it yourself
11,1,lifecycle,Freshly rolled over,course_age_days < 14 AND has_purpose_content == true AND recent_events_7d < 5,choice,"This looks like a freshly copied course. A quick choice confirms students can access the materials.",name=Can you see this?
12,1,gap,Many loose files,module_count.resource > 5 AND module_count.folder == 0,folder,"You have many separate files. Group related ones into a folder to reduce clutter.",name=Resources
13,1,gap,Content but no assessment,has_purpose_content == true AND has_purpose_assessment == false,quiz,"Students have plenty to read but nothing to check their understanding. A short quiz closes that loop.",grade=0;name=Check your understanding
14,1,gap,Heavy reading no deep task,has_purpose_content == true AND has_purpose_assessment == false AND module_count.book > 0,assign,"Your reading material is substantial. An assignment lets students demonstrate deeper understanding.",name=Assignment
15,1,gap,No communication channel,has_purpose_communication == false AND enrolled_students > 1,forum,"There is no way for students to ask questions or discuss. Add a forum for course conversation.",type=qanda;name=Questions and answers
16,1,gap,Large cohort no discussion,enrolled_students > 20 AND module_count.forum == 0,forum,"With a large class, a discussion forum cuts repeated questions and builds community.",type=general;name=Discussion
17,1,gap,No collaboration activity,has_purpose_collaboration == false AND activity_count > 4,wiki,"Students only ever work alone here. A wiki lets them build something together.",name=Class wiki
18,1,gap,Groups set but unused,has_purpose_collaboration == false AND has_groups == true,wiki,"Groups are configured but no activity uses them. A group wiki puts those groups to work.",mode=group;name=Group wiki
19,1,gap,Term-heavy no glossary,module_count.glossary == 0 AND module_count.book > 0,glossary,"A glossary gives students a shared reference for key terms as they read.",name=Glossary of terms
20,1,gap,No shared data collection,has_purpose_collaboration == false AND enrolled_students > 15,data,"A database activity lets the class collect and share examples, references, or fieldwork.",name=Shared database
21,1,gap,Quiz-only assessment,module_count.quiz > 0 AND module_count.assign == 0,assign,"Assessment is all quiz-based. An assignment adds an authentic task quizzes can't capture.",name=Applied task
22,1,gap,Assignment-only assessment,module_count.assign > 0 AND module_count.quiz == 0,quiz,"All assessment is assignment-based. Short quizzes give faster, low-stakes feedback.",name=Quick quiz
23,1,gap,Lecture pages no check,module_count.page > 3 AND module_count.quiz == 0,quiz,"Several pages of material but no formative check. A quiz after the reading aids retention.",grade=0;name=Reading check
24,1,gap,Single high-stakes item,has_purpose_assessment == true AND graded_items_count < 2,quiz,"There is only one graded item. A low-stakes practice quiz reduces pressure on the single assessment.",grade=0;name=Practice quiz
25,1,gap,No feedback instrument,has_feedback_activity == false AND activity_count > 5,feedback,"There is no way to gather student opinion. A feedback activity surfaces what is and isn't working.",name=Your feedback
26,1,gap,Linear content branching,module_count.page > 5 AND module_count.lesson == 0,lesson,"With this much linear content, a lesson can guide students adaptively based on their answers.",name=Guided lesson
27,1,gap,Writing tasks no peer review,module_count.assign > 1 AND module_count.workshop == 0,workshop,"Multiple writing tasks but no peer review. A workshop lets students learn by assessing each other.",name=Peer review
28,1,gap,No quick decision tool,module_count.choice == 0 AND enrolled_students > 10,choice,"A choice activity is the fastest way to take a class decision or quick pulse.",name=Quick poll
29,1,gap,No interactive content,interactive_count == 0 AND module_count.lti == 0 AND module_count.h5pactivity == 0,h5pactivity,"Add interactive content so students practise actively rather than only consuming.",name=Interactive activity
30,1,gap,Only one activity type,distinct_module_types <= 1 AND activity_count > 3,forum,"The whole course uses a single activity type. Variety keeps students engaged; start with a forum.",type=general;name=Discussion
31,1,gap,No content pages at all,module_count.page == 0 AND module_count.book == 0 AND module_count.label == 0,page,"There are no explanatory pages. Add one to frame the activities students see.",name=About this course
32,1,gap,Text-only variety,resource_count < 2 AND activity_count > 3,url,"Link out to a relevant video or article to add variety to mostly text-based material.",name=Further viewing
33,1,gap,No reflection late,module_count.assign > 0 AND has_feedback_activity == false AND term_stage in (mid|late),feedback,"Add a short reflection so students think about their own progress, not just receive a grade.",name=Reflection
34,1,gap,Completion on nothing tracked,enablecompletion == true AND completion_tracked_count == 0,quiz,"Completion is on but nothing is tracked. A quiz with completion gives students a sense of progress.",completion=auto;name=Module check
35,1,gap,Groups without shared space,has_groups == true AND module_count.forum == 0 AND module_count.wiki == 0,forum,"Groups exist but have nowhere to talk. A group forum gives each team its own space.",type=general;mode=separategroups;name=Group discussion
36,1,gap,Big-class FAQ,module_count.forum > 0 AND module_count.glossary == 0 AND enrolled_students > 20,glossary,"Recurring questions in a big class are easier to manage as a searchable FAQ glossary.",name=FAQ
37,1,gap,No summative path,has_purpose_assessment == false AND term_stage in (mid|late),assign,"The course is well underway with no graded work. Add an assignment so learning can be assessed.",name=Assessment
38,1,gap,Content-rich not interactive,has_purpose_content == true AND has_purpose_interactivecontent == false AND activity_count > 8,h5pactivity,"A content-rich course benefits from interactive H5P to break up long passive stretches.",name=Interactive break
39,1,gap,Large grouped cohort coordination,module_count.chat == 0 AND enrolled_students > 30 AND has_groups == true,forum,"For a large, grouped cohort, a forum scales better than scattered emails for coordination.",type=general;name=Coordination
40,1,gap,Single-activity shell unset,format == singleactivity AND activity_count < 1,page,"This single-activity course has no activity yet. Choose the activity it should present.",name=Main activity
41,1,lifecycle,Week 1 diagnostic,term_stage == week1 AND module_count.quiz == 0,quiz,"A short diagnostic in week one shows what students already know before you teach.",grade=0;name=Diagnostic quiz
42,1,lifecycle,Early formative quiz,term_stage == early AND has_purpose_assessment == false,quiz,"Early term is the right time for a low-stakes quiz so students get used to being assessed.",grade=0;name=Warm-up quiz
43,1,lifecycle,Mid-course feedback,term_stage == mid AND module_count.feedback == 0,feedback,"You're halfway through. A mid-course feedback activity lets you adjust before it's too late.",name=Mid-course check-in
44,1,lifecycle,Mid-course collaboration,term_stage == mid AND has_purpose_collaboration == false,wiki,"Mid-term is a good moment to introduce collaborative work now students know each other.",name=Group project space
45,1,lifecycle,Late summative quiz,term_stage == late AND module_count.quiz < 2,quiz,"As the course nears its end, a summative quiz helps students consolidate the whole syllabus.",name=Final review quiz
46,1,lifecycle,Late no major task,term_stage == late AND module_count.assign == 0,assign,"There's no major assessed task near the end. Add a final assignment to capture overall learning.",name=Final assignment
47,1,lifecycle,End-of-course feedback,term_stage in (late|postend) AND module_count.feedback == 0,feedback,"Collect end-of-course feedback while the experience is fresh so the next run is better.",name=Course evaluation
48,1,lifecycle,Post-end reflection,term_stage == postend AND module_count.assign > 0,feedback,"The course has finished. A short feedback activity captures what students valued most.",name=Looking back
49,1,lifecycle,Peer review window open,term_stage in (early|mid) AND module_count.workshop == 0 AND module_count.assign > 0,workshop,"There's still time to run a peer review. Workshops need a few weeks, so set one up now.",name=Peer review
50,1,lifecycle,Week 1 goals,term_stage == week1 AND module_count.choice == 0,choice,"Ask students about their goals or availability in week one with a quick choice.",name=Your goals
51,1,lifecycle,Early reading checks,term_stage in (week1|early) AND module_count.page > 2 AND module_count.quiz == 0,quiz,"Students have reading to do early on. A quick check keeps them honest and on pace.",grade=0;name=Reading check
52,1,lifecycle,Mid-course Q&A,term_stage == mid AND module_count.forum == 0,forum,"Questions pile up mid-term. Open a Q&A forum so they're answered once, publicly.",type=qanda;name=Mid-course Q&A
53,1,lifecycle,Pre-finals revision glossary,term_stage == late AND module_count.glossary == 0,glossary,"A glossary built before finals gives students a single revision reference for key terms.",name=Revision glossary
54,1,lifecycle,Pre-start expectations,term_stage == prestart AND module_count.page < 2,page,"Before the course opens, set expectations on workload and assessment on a clear page.",name=What to expect
55,1,lifecycle,Early community forum,term_stage in (week1|early) AND has_purpose_communication == false,forum,"Community forms early or not at all. Add a social forum in the first weeks.",type=social;name=Common room
56,1,lifecycle,Mid progress marker,term_stage == mid AND enablecompletion == true AND completion_tracked_count < 3,quiz,"Halfway through with little completion tracking. A tracked quiz gives a visible progress marker.",completion=auto;name=Progress check
57,1,lifecycle,Late interactive revision,term_stage == late AND module_count.h5pactivity == 0,h5pactivity,"Interactive revision suits the run-up to assessment better than re-reading notes.",name=Revision activity
58,1,lifecycle,Self-paced pacing aid,term_stage == undated AND module_count.lesson == 0 AND module_count.page > 4,lesson,"For a self-paced course, a lesson paces content and checks understanding as students go.",name=Guided path
59,1,lifecycle,Week 1 introductions,term_stage == week1 AND module_count.forum < 1,forum,"An introductions forum in week one helps a cohort feel like a group.",type=general;name=Introductions
60,1,lifecycle,Mid-course temperature check,term_stage == mid AND module_count.choice == 0,choice,"A one-click poll mid-term is an easy temperature check on how the course is landing.",name=How's it going?
61,1,lifecycle,Late feedback not peer review,term_stage == late AND module_count.assign > 0 AND module_count.feedback == 0,feedback,"Too late for new peer review, but a quick feedback form still captures end-stage opinion.",name=Final feedback
62,1,lifecycle,Pre-course goals survey,term_stage in (prestart|week1) AND has_feedback_activity == false,feedback,"Find out what students want from the course before you're too far in to adjust.",name=Pre-course survey
63,1,lifecycle,Mid class-built data,term_stage == mid AND module_count.data == 0 AND enrolled_students > 15,data,"Mid-course is ideal for a class-built database of cases or examples to study from.",name=Class collection
64,1,lifecycle,Late consolidation book,term_stage == late AND module_count.book == 0 AND module_count.page > 5,book,"Pull scattered late-term pages into a single book students can revise from.",name=Revision guide
65,1,lifecycle,Post-end closing page,term_stage == postend AND has_purpose_content == true,page,"Add a closing page thanking students and pointing to next steps or follow-on courses.",name=Where to next
66,1,lifecycle,Early self-grouping,term_stage in (week1|early) AND has_groups == false AND enrolled_students > 20,choice,"Use a choice to let students self-select into groups or topics early on.",name=Pick your group
67,1,engagement,Dead passive content,dead_activity_count > 2 AND interactive_count == 0,h5pactivity,"Several resources have never been opened. Swap one for an interactive H5P that invites action.",name=Interactive version
68,1,engagement,Quiet week,recent_events_7d < 10 AND enrolled_students > 10,forum,"The course has been quiet this week. A forum prompt is a gentle way to draw students back.",type=general;name=This week's discussion
69,1,engagement,Low completion rate,completion_rate < 30 AND completion_tracked_count > 0,choice,"Completion is low. A quick, easy choice can rebuild momentum with an early win.",name=Quick check-in
70,1,engagement,Silent forum,module_count.forum > 0 AND forum_post_count < 3 AND enrolled_students > 10,choice,"Your forum is quiet. Sometimes a single poll sparks the discussion a blank forum can't.",name=Conversation starter
71,1,engagement,Quizzes ignored,module_count.quiz > 0 AND quiz_attempt_count < enrolled_students AND term_stage in (early|mid),choice,"Few students have attempted the quiz. A choice asking what's blocking them can reveal why.",name=What's holding you back?
72,1,engagement,Low submission rate,assignment_submission_rate < 40 AND term_stage in (mid|late),forum,"Submissions are low. A support forum lets struggling students ask for help before the deadline.",type=qanda;name=Assignment help
73,1,engagement,Enrolled but inactive,enrolled_students > 30 AND active_students_7d < 10,feedback,"Many enrolled but few active. A short feedback form can uncover why students dropped off.",name=Re-engagement survey
74,1,engagement,New material unseen,recent_events_7d < 5 AND course_age_days > 30 AND resource_count > 5,choice,"New material may be going unnoticed. A choice nudges students to confirm they've seen it.",name=Caught up?
75,1,engagement,Stalled mid-course,term_stage == mid AND recent_events_7d < 15 AND enrolled_students > 15,feedback,"Activity has stalled at mid-term. Ask students directly what would help them re-engage.",name=Mid-course pulse
76,1,engagement,Graded work avoided,graded_items_count > 0 AND completion_rate < 20,quiz,"Graded work isn't being completed. A short, low-stakes quiz can ease students back in.",grade=0;name=Easy starter
77,1,engagement,Glossary unused,module_count.glossary > 0 AND recent_events_7d < 10,choice,"If the glossary isn't being used, a term-of-the-week choice can drive students to it.",name=Term of the week
78,1,engagement,One-way communication,module_count.forum > 0 AND forum_post_count < 5 AND module_count.choice == 0,choice,"Discussion is one-directional. A poll gives quieter students an easy way to take part.",name=Have your say
79,1,engagement,Narrow and quiet,distinct_module_types < 3 AND recent_events_7d < 20,h5pactivity,"Limited variety may be dampening engagement. An interactive activity adds a different hook.",name=Something different
80,1,engagement,Early drop-off,course_age_days > 21 AND active_students_7d < enrolled_students AND term_stage == early,forum,"Early drop-off is common but recoverable. A welcoming forum prompt can bring students back.",type=general;name=Still with us?
81,1,engagement,Possible assessment anxiety,module_count.quiz > 0 AND quiz_attempt_count < enrolled_students AND module_count.feedback == 0,feedback,"Low quiz uptake can signal anxiety. A quick anonymous feedback form helps you understand it.",name=How are you finding the quizzes?
82,1,engagement,Sustain good progress,completion_rate > 60 AND module_count.choice == 0,choice,"Most students are progressing well. A light choice can celebrate and sustain momentum.",name=Milestone check-in
83,1,engagement,Inactive wiki,module_count.wiki > 0 AND recent_events_7d < 10,forum,"If the wiki has gone quiet, a forum thread can coordinate who works on what next.",name=Wiki coordination
84,1,engagement,Pre-finals dip,term_stage == late AND recent_events_7d < 10,quiz,"Engagement often dips before finals. A revision quiz gives students a reason to return.",name=Exam prep quiz
85,1,engagement,Interactive content skipped,module_count.h5pactivity > 0 AND recent_events_7d < 8,choice,"If interactive content is being skipped, a choice pointing students to it can help.",name=Did you try it?
86,1,engagement,Low feedback response,module_count.feedback > 0 AND active_students_7d < 10 AND enrolled_students > 20,choice,"Feedback response is low. A single-question choice often gets answers a long form won't.",name=One quick question
87,1,engagement,No early quick win,term_stage in (week1|early) AND completion_rate < 25,choice,"Give students an early, easy completion. A simple choice builds the habit of finishing tasks.",completion=auto;name=Easy first step
88,1,engagement,Passive-heavy and quiet,resource_count > interactive_count AND recent_events_7d < 15,h5pactivity,"A mostly passive course that's gone quiet benefits from an active task students must do.",name=Active task
89,1,engagement,Large silent class,enrolled_students > 50 AND forum_post_count < 10,choice,"In a big, quiet class, a poll lowers the bar to participation more than a forum.",name=Quick vote
90,1,engagement,Mid-course plateau,completion_rate > 40 AND completion_rate < 70 AND term_stage == mid,quiz,"Progress has plateaued mid-course. A fresh quiz can re-motivate students stuck in the middle.",name=Mid-course quiz
91,1,gap,No external perspective,module_count.url < 1 AND module_count.lti == 0 AND activity_count > 5,url,"Linking to an external resource or expert adds a perspective beyond your own materials.",name=External resource
92,1,gap,Document-heavy no video,module_count.url < 2 AND resource_count > 4,url,"Mostly documents here. A linked video suits students who learn better by watching.",name=Video resource
93,1,gap,Many pages auto-glossary,module_count.glossary == 0 AND module_count.page > 6,glossary,"An auto-linking glossary turns key terms across your many pages into instant definitions.",autolink=1;name=Auto-glossary
94,1,gap,Loose pages into book,module_count.book == 0 AND module_count.page > 8,book,"Eight or more loose pages are easier to follow gathered into a single navigable book.",name=Course book
95,1,gap,Mature toolset add specialist,module_count.lti == 0 AND distinct_module_types > 5,lti,"You use many core tools well. An external tool can add a specialist activity Moodle lacks.",name=External tool
96,1,gap,Prefer H5P to SCORM,module_count.scorm == 0 AND module_count.h5pactivity == 0 AND interactive_count == 0,h5pactivity,"Prefer H5P over SCORM for new interactive content; it's easier to author and maintain.",name=Interactive content
97,1,gap,Large cohort structured survey,module_count.feedback == 0 AND module_count.survey == 0 AND enrolled_students > 30,feedback,"For a large cohort, a structured feedback activity gives analysable, comparable responses.",name=Structured survey
98,1,gap,Polls without depth,module_count.choice > 3 AND module_count.feedback == 0,feedback,"You use quick polls a lot. A feedback activity captures the richer, open responses polls miss.",name=Tell us more
99,1,gap,Assessment variety low,assessment_count > 3 AND distinct_module_types < 4,workshop,"Plenty of assessment but little variety. A workshop adds peer assessment to the mix.",name=Peer-assessed task
100,1,gap,Well-rounded stretch,has_purpose_assessment == true AND has_purpose_communication == true AND has_purpose_collaboration == true AND has_purpose_interactivecontent == false,h5pactivity,"This course is well-balanced. The one gap is interactive content; H5P would round it out.",name=Interactive extension
